Code,BirthYear,DeathYear,Sex,MumCode,MotherStatus,AgeWhenDied,FWSurvival,BirthWt
ACA10,2010,2010,2,GKG07,Naïve,0,0,6.96
ALB93,1993,1998,1,FUL87,Summer yeld,5,1,7.71
ALC89,1989,1991,1,OCC85,Naïve,2,1,6.68
ALD01,2001,2005,1,SUR87,True yeld,4,1,7.12
ALD91,1991,2000,1,SUR87,Naïve,9,1,6.09
ALD93,1993,2008,2,SUR87,True yeld,15,1,7.34
ALD98,1998,2004,1,SUR87,True yeld,6,1,6.54
ALD99,1999,2014,2,SUR87,Milk,15,1,7.23
ALI13,2013,2013,2,EMB08,Naïve,0,0,7.48
ANK90,1990,2002,1,KIL82,Milk,12,1,8.38
APH91,1991,1996,1,THO86,Summer yeld,5,1,7.22
APH93,1993,1998,1,THO86,Summer yeld,5,1,7.54
APH94,1994,1995,1,THO86,Milk,1,1,7.91
APH95,1995,2000,1,THO86,Milk,5,1,6.62
APH96,1996,1998,1,THO86,Milk,2,1,6.40
APH98,1998,2001,1,THO86,True yeld,3,1,8.74
AQU91,1991,1996,1,COB80,Milk,5,1,7.20
ARB06,2006,2011,2,COF01,True yeld,5,1,6.58
ARB13,2013,2015,1,COF01,True yeld,2,1,6.29
ARD04,2004,2004,2,ALD98,True yeld,0,0,6.48
ARI01,2001,2002,1,ATH87,True yeld,1,1,7.78
ARI97,1997,1999,1,ATH87,Milk,2,1,8.48
ARI99,1999,2003,1,ATH87,True yeld,4,1,7.14
ART00,2000,2012,2,ARI96,Summer yeld,12,1,7.14
ASB16,2016,2021,2,HOO05,Winter yeld,5,1,6.13
AST90,1990,2001,1,GAL85,Summer yeld,11,1,6.36
AST91,1991,2005,2,GAL85,Milk,14,1,7.45
ATH87,1987,2002,1,THO81,True yeld,15,1,6.36
ATH89,1989,1999,1,THO81,True yeld,10,1,5.83
ATH91,1991,2005,2,THO81,True yeld,14,1,5.82
AYE07,2007,2012,2,MEE03,Naïve,5,1,6.18
BAN93,1993,1993,2,FRE83,Summer yeld,0,0,7.98
BAR78,1978,1979,2,UPR71,Milk,1,1,7.84
BAU18,2018,2021,2,MCD12,Winter yeld,3,1,5.98
BEE94,1994,2000,1,PET85,Milk,6,1,6.41
BET75,1975,1978,2,BLT68,Summer yeld,3,1,8.56
BET78,1978,1986,2,BLT68,True yeld,8,1,7.12
BGE22,2022,2022,1,SHO16,True yeld,0,0,6.54
BHN04,2004,2004,2,MAS99,Naïve,0,0,6.35
BIE00,2000,2000,2,CFI94,Winter yeld,0,0,4.22
BIG76,1976,1988,1,BIGHE,Winter yeld,12,1,8.90
BIG80,1980,1980,1,BIGHE,True yeld,0,0,6.80
BIS81,1981,1982,1,CIN76,Naïve,1,1,4.98
BIT03,2003,2003,2,SQU97,True yeld,0,0,6.96
BLO75,1975,1992,1,BLOSS,Winter yeld,17,1,7.12
BLT75,1975,1992,1,BLTLE,True yeld,17,1,7.08
BMA19,2019,2019,2,CHN06,True yeld,0,0,
BMB10,2010,2016,1,SSK06,Naïve,6,1,6.62
BMB13,2013,2016,1,SSK06,Winter yeld,3,1,6.92
BNS07,2007,2011,1,PCL02,True yeld,4,1,8.16
BNS09,2009,2011,1,PCL02,True yeld,2,1,7.12
BNT16,2016,2016,2,BMB10,Milk,0,0,7.01
BNX96,1996,2007,2,FUL89,Milk,11,1,5.71
BOE21,2021,2022,2,CES17,Milk,1,1,5.94
BOM04,2004,2010,2,BIT01,Naïve,6,1,7.12
