Code,DeerYear,FWSurvival,Sex,BirthWt,MumCode,MotherStatus,MumAge
KRB05,2005,0,1,5.85,ALD01,Naïve,3
KRB05,2005,0,1,5.85,ALD01,Winter yeld,3
KRB04,2004,0,2,4.84,ALD01,Naïve,3
KRB04,2004,0,2,4.84,ALD01,Winter yeld,3
KRB05,2005,0,1,5.85,ALD01,Naïve,4
KRB05,2005,0,1,5.85,ALD01,Winter yeld,4
KRB04,2004,0,2,4.84,ALD01,Naïve,4
KRB04,2004,0,2,4.84,ALD01,Winter yeld,4
ZAN98,1998,1,1,7.08,ALD91,Naïve,4
ZAN98,1998,1,1,7.08,ALD91,Summer yeld,4
ZAN98,1998,1,1,7.08,ALD91,True yeld,4
ZAN98,1998,1,1,7.08,ALD91,Milk,4
ZAN98,1998,1,1,7.08,ALD91,Naïve,5
ZAN98,1998,1,1,7.08,ALD91,Summer yeld,5
ZAN98,1998,1,1,7.08,ALD91,True yeld,5
ZAN98,1998,1,1,7.08,ALD91,Milk,5
ZAN98,1998,1,1,7.08,ALD91,Naïve,7
ZAN98,1998,1,1,7.08,ALD91,Summer yeld,7
ZAN98,1998,1,1,7.08,ALD91,True yeld,7
ZAN98,1998,1,1,7.08,ALD91,Milk,7
ZAN98,1998,1,1,7.08,ALD91,Naïve,8
ZAN98,1998,1,1,7.08,ALD91,Summer yeld,8
ZAN98,1998,1,1,7.08,ALD91,True yeld,8
ZAN98,1998,1,1,7.08,ALD91,Milk,8
ARD04,2004,0,2,6.48,ALD98,Naïve,4
ARD04,2004,0,2,6.48,ALD98,True yeld,4
ARD04,2004,0,2,6.48,ALD98,Naïve,6
ARD04,2004,0,2,6.48,ALD98,True yeld,6
FLG00,2000,1,2,6.20,ANK90,Naïve,5
FLG00,2000,1,2,6.20,ANK90,Summer yeld,5
FLG00,2000,1,2,6.20,ANK90,Summer yeld,5
FLG00,2000,1,2,6.20,ANK90,Milk,5
FLG00,2000,1,2,6.20,ANK90,True yeld,5
FLG97,1997,1,1,6.74,ANK90,Naïve,5
FLG97,1997,1,1,6.74,ANK90,Summer yeld,5
FLG97,1997,1,1,6.74,ANK90,Summer yeld,5
FLG97,1997,1,1,6.74,ANK90,Milk,5
FLG97,1997,1,1,6.74,ANK90,True yeld,5
FLG00,2000,1,2,6.20,ANK90,Naïve,6
FLG00,2000,1,2,6.20,ANK90,Summer yeld,6
FLG00,2000,1,2,6.20,ANK90,Summer yeld,6
FLG00,2000,1,2,6.20,ANK90,Milk,6
FLG00,2000,1,2,6.20,ANK90,True yeld,6
FLG97,1997,1,1,6.74,ANK90,Naïve,6
FLG97,1997,1,1,6.74,ANK90,Summer yeld,6
FLG97,1997,1,1,6.74,ANK90,Summer yeld,6
FLG97,1997,1,1,6.74,ANK90,Milk,6
FLG97,1997,1,1,6.74,ANK90,True yeld,6
FLG00,2000,1,2,6.20,ANK90,Naïve,7
FLG00,2000,1,2,6.20,ANK90,Summer yeld,7
FLG00,2000,1,2,6.20,ANK90,Summer yeld,7
FLG00,2000,1,2,6.20,ANK90,Milk,7
FLG00,2000,1,2,6.20,ANK90,True yeld,7
FLG97,1997,1,1,6.74,ANK90,Naïve,7
FLG97,1997,1,1,6.74,ANK90,Summer yeld,7
FLG97,1997,1,1,6.74,ANK90,Summer yeld,7
FLG97,1997,1,1,6.74,ANK90,Milk,7
FLG97,1997,1,1,6.74,ANK90,True yeld,7
FLG00,2000,1,2,6.20,ANK90,Naïve,8
FLG00,2000,1,2,6.20,ANK90,Summer yeld,8
FLG00,2000,1,2,6.20,ANK90,Summer yeld,8
FLG00,2000,1,2,6.20,ANK90,Milk,8
FLG00,2000,1,2,6.20,ANK90,True yeld,8
FLG97,1997,1,1,6.74,ANK90,Naïve,8
FLG97,1997,1,1,6.74,ANK90,Summer yeld,8
FLG97,1997,1,1,6.74,ANK90,Summer yeld,8
FLG97,1997,1,1,6.74,ANK90,Milk,8
FLG97,1997,1,1,6.74,ANK90,True yeld,8
FLG00,2000,1,2,6.20,ANK90,Naïve,10
