Code,BirthYear,DeathYear,DeathMonth,DeathType,AgeWhenDied,FirstWinterSurvival
ABA14,2014,2018,2,N,4,1
ABA16,2016,2018,1,N,2,1
ABA17,2017,2018,1,N,1,0
ABA20,2020,2021,3,N,1,0
ABA21,2021,2022,4,N,1,0
ABA22,2022,2023,3,N,1,0
ABS04,2004,2005,2,N,1,0
ABS06,2006,2007,4,N,1,0
ABS08,2008,2009,3,Q,1,0
ABS11,2011,2011,9,Q,0,0
ABS13,2013,2013,5,Q,0,0
ABS14,2014,2015,2,,1,0
ACA10,2010,2010,12,S,0,0
ACA11,2011,2012,1,S,1,
ACC08,2008,2009,1,Q,1,0
ACHIL,1967,1976,8,S,9,1
ACO21,2021,2022,3,N,1,0
ACO23,2023,2023,6,Q,0,0
ADI20,2020,2021,2,N,1,0
ADI21,2021,2022,2,N,1,0
ADZ78,1978,1978,6,Q,0,0
ADZ79,1979,1981,2,N,2,1
ADZ80,1980,1980,7,Q,0,0
ADZ81,1981,1981,6,D,0,0
ADZ82,1982,1986,1,S,4,1
ADZ83,1983,1983,6,Q,0,0
ADZ85,1985,1986,3,N,1,0
AER23,2023,2023,10,Q,0,0
AGA84,1984,1992,3,N,8,1
AGA86,1986,1986,6,Q,0,0
AGA87,1987,1987,6,Q,0,0
AGO20,2020,2021,1,N,1,0
AGO21,2021,2022,3,N,1,0
AGO22,2022,2023,3,N,1,0
AIDAN,1997,2013,,Q,16,1
ALB91,1991,1992,2,N,1,0
ALB92,1992,1992,6,Q,0,0
ALB93,1993,1998,11,Q,5,1
ALB94,1994,2002,2,N,8,1
ALB97,1997,1999,4,N,2,1
ALC89,1989,1991,12,S,2,1
ALCOC,1973,1979,9,S,6,1
ALD01,2001,2005,11,S,4,1
ALD91,1991,2000,11,S,9,1
ALD93,1993,2008,,Q,15,1
ALD94,1994,2005,1,S,11,1
ALD96,1996,2002,8,S,6,1
ALD98,1998,2004,12,S,6,1
ALD99,1999,2014,,,15,1
ALFIE,2003,2009,,Q,6,1
ALI13,2013,2013,12,S,0,0
ALL11,2011,2012,3,N,1,0
ALL16,2016,2017,3,N,1,0
ALL17,2017,2019,2,N,2,1
ALL18,2018,2018,6,Q,0,0
ALL20,2020,2021,3,N,1,0
ALL21,2021,2022,3,N,1,0
ALM88,1988,1989,2,Q,1,0
ALTOS,1968,1978,4,N,10,1
AMBER,1967,1976,2,N,9,1
AMC16,2016,2017,3,N,1,0
AMC18,2018,2019,4,N,1,0
AMC20,2020,2020,5,Q,0,0
AME12,2012,2012,6,Q,0,0
AME13,2013,2015,3,N,2,1
AME16,2016,2017,3,N,1,0
AME22,2022,2022,6,Q,0,0
AML16,2016,2018,2,N,2,1
AND02,2002,2005,8,S,3,1
ANK86,1986,1987,1,N,1,0
ANK87,1987,1997,7,S,10,1
ANK89,1989,2003,7,Q,14,1
ANK90,1990,2002,10,Q,12,1
ANK91,1991,1999,3,Q,8,1
ANK92,1992,1993,3,N,1,0
ANM02,2002,2015,3,N,13,1
ANM03,2003,2005,2,N,2,1
ANM04,2004,2017,9,S,13,1
ANM06,2006,2019,3,N,13,1
ANM07,2007,2007,6,B,0,0
ANT00,2000,2002,7,S,2,1
ANT97,1997,2001,11,S,4,1
APA04,2004,2005,4,N,1,0
APA05,2005,2006,3,N,1,0
APA07,2007,2011,9,S,4,1
APA12,2012,2014,7,S,2,1
APA13,2013,2013,6,W,0,0
APG22,2022,2022,6,B,0,0
APH00,2000,2000,6,B,0,0
APH90,1990,1990,6,Q,0,0
APH91,1991,1996,10,S,5,1
APH92,1992,1992,6,E,0,0
APH93,1993,1998,11,S,5,1
APH94,1994,1995,12,S,1,1
APH95,1995,2000,,Q,5,1
APH96,1996,1998,11,S,2,1
APH98,1998,2001,11,S,3,1
APH99,1999,1999,7,E,0,0
APN85,1985,1985,6,Q,0,0
APN87,1987,1989,2,N,2,1
APN89,1989,1990,2,N,1,0
APO15,2015,2023,1,S,8,1
APR74,1974,1981,12,Q,7,1
APR75,1975,1989,1,N,14,1
APR81,1981,1982,3,N,1,0
APRIC,1967,1982,2,N,15,1
AQU89,1989,1991,3,N,2,1
AQU91,1991,1996,11,S,5,1
AQU96,1996,1996,11,N,0,0
ARA05,2005,2005,7,B,0,0
ARA06,2006,2008,2,N,2,1
ARA07,2007,2008,2,N,1,0
ARA10,2010,2011,3,N,1,0
ARA11,2011,2018,4,N,7,1
ARA13,2013,2014,1,N,1,0
ARA15,2015,2020,6,G,5,1
ARB04,2004,2006,1,S,2,1
ARB06,2006,2011,10,S,5,1
ARB08,2008,2009,1,N,1,0
ARB09,2009,2009,5,Q,0,0
ARB10,2010,2010,7,Q,0,0
ARB11,2011,2014,1,S,3,1
ARB13,2013,2015,11,S,2,1
ARCHI,2003,2012,,Q,9,1
ARD02,2002,2004,7,S,2,1
