code,AvgSpike,ObsYear,DeerYear,MumCode,ReprodStatus
ADZ79,0,1980,1979,MOY74,Milk
ALB95,7.5,1996,1995,FUL87,Milk
ALD93,1,1994,1993,SUR87,Milk
ALD96,8,1997,1996,SUR87,Milk
ANK87,1.75,1988,1987,KIL82,Milk
APN87,0,1988,1987,ASP78,Milk
APR79,0,1980,1979,APRIC,Milk
AQU83,1.5,1984,1983,COB80,Milk
AQU89,1.75,1990,1989,COB80,Milk
ARI91,1.25,1992,1991,ATH87,Milk
ARI93,1,1994,1993,ATH87,Milk
ASH76,1,1977,1976,ROW74,Milk
ASP77,0,1978,1977,TOR72,Milk
ASP83,0,1984,1983,TOR72,Milk
AST95,2,1996,1995,GAL85,Milk
ATH85,0,1986,1985,THO81,Milk
ATH91,3,1992,1991,THO81,Milk
AVO83,5,1984,1983,UPT78,Milk
AVO84,2,1985,1984,UPT78,Milk
AVO85,0,1986,1985,UPT78,Milk
AVO87,0.75,1988,1987,UPT78,Milk
BAR75,2,1976,1975,UPR71,Milk
BAR76,2,1977,1976,UPR71,Milk
BAR77,3,1978,1977,UPR71,Milk
BAR82,1,1983,1982,UPR71,Milk
BET71,6,1972,1971,BLT68,Milk
BET75,4.25,1976,1975,BLT68,Milk
BET76,1.5,1977,1976,BLT68,Milk
BET78,1,1979,1978,BLT68,Milk
BIG74,0,1975,1974,BIGHE,Milk
BIS84,3.125,1985,1984,CIN76,Milk
BLO70,1.5,1971,1970,BLOSS,Summer yeld
BLO77,3.5,1978,1977,BLOSS,Milk
BLO78,1.5,1979,1978,BLOSS,Milk
BLT71,7,1972,1971,BLTLE,Milk
BLT72,2.5,1973,1972,BLTLE,Milk
BLT76,2,1977,1976,BLTLE,Milk
BNX96,0,1997,1996,FUL89,Milk
BRA74,0,1975,1974,ELG68,Milk
BRA76,0,1977,1976,ELG68,Milk
BRC76,1,1977,1976,BRA72,Milk
BRC78,0,1979,1978,BRA72,Milk
BRC82,0,1983,1982,BRA72,Milk
BRF74,2,1975,1974,FEE71,Milk
BRF76,0.5,1977,1976,FEE71,Milk
BRF77,0.625,1978,1977,FEE71,Milk
BRG90,4,1991,1990,MUR85,Milk
BRG92,0,1993,1992,MUR85,Milk
BRG95,0,1996,1995,MUR85,Milk
BRG96,0,1997,1996,MUR85,Milk
BRI85,0,1986,1985,BRA81,Milk
BRO71,0,1972,1971,BROWH,Milk
BST74,0.5,1975,1974,MHO67,Milk
BST75,0,1976,1975,MHO67,Milk
BUC87,0,1988,1987,BUL73,Milk
BUL72,4,1973,1972,BULGY,Milk
CAI70,7.5,1971,1970,CAILL,Milk
CAI71,5,1972,1971,CAILL,Milk
CAI72,6,1973,1972,CAILL,Milk
CAI74,0.25,1975,1974,CAILL,Milk
CAN85,2.5,1986,1985,WHI73,Milk
CAR84,2,1985,1984,COC75,Milk
CCO91,1,1992,1991,LAM83,Milk
CCO95,2.5,1996,1995,LAM83,Milk
CFU84,5,1985,1984,CMO77,Milk
CFU85,0,1986,1985,CMO77,Milk
CFU87,1.5,1988,1987,CMO77,Milk
CHE72,1,1973,1972,BLT69,Milk
CHE75,1,1976,1975,BLT69,Milk
CHE76,1,1977,1976,BLT69,Milk
CHE77,0,1978,1977,BLT69,Milk
CHE82,0.5,1983,1982,BLT69,Milk
CHI92,2,1993,1992,PGB83,Milk
CHL96,0.5,1997,1996,PEP91,Milk
CHO70,6,1971,1970,CHOCH,Summer yeld
CHO72,7,1973,1972,CHOCH,Milk
