Code,Sex,BirthDay,BirthMonth,BirthYear,MumCode,BirthWt,DaysFrom1May
ABA14,2,13,6,2014,HIA09,6.240000191,43
ABA16,1,24,5,2016,HIA09,5.379999905,23
ABA17,1,29,5,2017,HIA09,4.680000095,28
ABA19,2,24,5,2019,HIA09,5.38,23
ABA20,2,26,5,2020,HIA09,6.109999809,25
ABA21,1,27,5,2021,HIA09,5.419999905,26
ABA22,2,8,6,2022,HIA09,5.275,38
ABA23,1,10,6,2023,HIA09,5.225000191,40
ABS04,1,6,7,2004,IVO99,6.820000095,66
ABS06,1,11,6,2006,IVO99,6.839999809,41
ABS08,2,30,5,2008,IVO99,5.780000191,29
ABS11,1,25,8,2011,IVO99,6.580000191,116
ABS14,2,26,5,2014,IVO99,8.039999619,25
ACA10,2,6,6,2010,GKG07,6.955,36
ACO23,2,29,5,2023,PUE18,5.180000095,28
ADI20,2,4,6,2020,QTZ16,4.739999905,34
ADI21,1,26,6,2021,QTZ16,5.979999809,56
ADI23,1,26,5,2023,QTZ16,5.940000191,25
ADZ80,1,10,7,1980,MOY74,4.979999809,70
ADZ81,1,1,6,1981,MOY74,7.519999809,31
AGO20,2,28,5,2020,CPY16,6.070000095,27
AGO21,1,4,6,2021,CPY16,6.355000095,34
AGO22,2,11,6,2022,CPY16,7.455,41
AGO23,2,8,6,2023,CPY16,6.455,38
ALB91,1,6,6,1991,FUL87,5.600000095,36
ALB92,2,7,6,1992,FUL87,5.039999905,37
ALB93,1,21,6,1993,FUL87,7.710000191,51
ALB94,1,6,6,1994,FUL87,6.895,36
ALB95,2,7,6,1995,FUL87,8.455,37
ALB97,2,11,6,1997,FUL87,7.524999905,41
ALC89,1,6,6,1989,OCC85,6.680000095,36
ALC91,2,4,6,1991,OCC85,7.84,34
ALD01,1,4,6,2001,SUR87,7.120000191,34
ALD03,1,8,6,2003,SUR87,6.395,38
ALD06,1,30,7,2006,SUR87,8.080000191,90
ALD91,1,30,5,1991,SUR87,6.094999809,29
ALD93,2,7,6,1993,SUR87,7.340000095,37
ALD94,1,29,5,1994,SUR87,6.280000095,28
ALD95,1,8,6,1995,SUR87,6.35,38
ALD96,2,18,6,1996,SUR87,7.419999905,48
ALD98,1,24,5,1998,SUR87,6.540000095,23
ALD99,2,4,6,1999,SUR87,7.225000191,34
ALI13,2,26,5,2013,EMB08,7.479999905,25
ALL11,1,29,5,2011,PUF06,5.019999905,28
ALL13,1,6,6,2013,PUF06,4.474999809,36
ALL15,2,13,6,2015,PUF06,4.929999809,43
ALL16,2,30,5,2016,PUF06,5.339999809,29
ALL17,1,31,5,2017,PUF06,5.379999905,30
ALL18,1,7,6,2018,PUF06,4.624999809,37
ALL19,1,23,5,2019,PUF06,6.440000191,22
ALL20,2,4,6,2020,PUF06,6.240000191,34
ALL21,2,13,7,2021,PUF06,6.320000095,73
ALL23,1,31,5,2023,PUF06,5.509999905,30
ALO18,2,11,6,2018,CRX14,6.195000191,41
ALO20,2,27,5,2020,CRX14,7.810000095,26
ALO22,1,30,5,2022,CRX14,8.14,29
ALO23,1,31,5,2023,CRX14,7.759999809,30
AMC16,2,28,5,2016,USS12,6.7,27
AMC18,1,4,6,2018,USS12,5.839999809,34
AMC21,2,29,5,2021,USS12,7.380000381,28
AME12,2,1,6,2012,OPA08,5.91,31
AME13,2,27,5,2013,OPA08,5.680000095,26
AME15,1,23,5,2015,OPA08,4.900000095,22
AME16,2,25,6,2016,OPA08,6.38,55
AME18,2,3,6,2018,OPA08,5.739999905,33
AME20,1,25,5,2020,OPA08,5.974999809,24
AME22,1,11,6,2022,OPA08,4.839999809,41
AME23,1,30,5,2023,OPA08,5.64,29
AML16,1,6,6,2016,DAW12,5.874999905,36
AML20,1,26,5,2020,DAW12,7.040000095,25
AML22,1,12,6,2022,DAW12,6.2,42
AND02,2,14,6,2002,ARI99,6.519999809,44
ANK86,2,13,6,1986,KIL82,5.320000095,43
ANK87,2,13,6,1987,KIL82,6.140000191,43
ANK89,1,4,6,1989,KIL82,7.009999905,34
ANK90,1,27,5,1990,KIL82,8.380000381,26
ANK91,1,26,5,1991,KIL82,5.91,25
ANK92,1,29,5,1992,KIL82,5.64,28
ANM02,1,3,6,2002,BAC98,6.23,33
